dataset,attribute,segment,total_orders,incidence_rate,miss_item_weighted_rate_%,revenue_loss_mean,rev_loss_weighted_rate_%,risk_score,risk_score_0_100,risk_level
product,price_bin,Very Low ($0-10),568,1.0,11.727042965459141,2.704436873377436,3.972202251566675,0.25300103017426934,25.300103017426935,Low Risk
operational,month,12,858,0.13636363636363635,1.4512785072563925,2.57776362162297,4.30448110342753,0.19912449701071516,19.912449701071516,Low Risk
operational,region,Kissimmee,1421,0.14356087262491204,1.5266643429766469,2.671375023179272,4.878412522817148,0.1714237096005298,17.14237096005298,Low Risk
driver,driver_id_type,Single ID,9924,0.14933494558645707,1.6505217224416409,2.763744050073874,5.25064068535428,0.09999999999998985,9.999999999998984,Low Risk
driver,driver_age_group,Young,4351,0.11675476901861641,1.4959537572254336,2.3371874639278305,3.3516569944795584,0.09999999999996606,9.999999999996605,Low Risk
operational,region,Sanford,1461,0.13894592744695414,1.5625,2.6073150658601674,4.367800150286704,0.09664939181211911,9.664939181211912,Low Risk
customer,customer_age_group,Middle Age,2647,0.14393653192293163,1.5907201692737853,2.655490986043392,4.699462927991395,0.04920735573872885,4.920735573872885,Low Risk
operational,period,Night,2436,0.14532019704433496,1.6599765847131627,2.7109927749807032,4.88545805646087,0.048224138515017646,4.822413851501764,Low Risk
operational,day_of_week,Thursday,1387,0.1377072819033886,1.4761703922395615,2.4518183565679834,3.7054103010743287,0.012836328082115317,1.2836328082115318,Low Risk
driver,trip_bin,Very High (61–78 trips),2386,0.1374685666387259,1.5096259859214656,2.614870022817429,4.530181710869472,0.0,0.0,Low Risk
